,confirm,heal,dead,confirm_add
01.31,2,0,0,2
02.01,2,0,0,0
02.02,2,0,0,0
02.03,2,0,0,0
02.04,2,0,0,0
02.05,2,0,0,0
02.06,2,0,0,0
02.07,3,0,0,1
02.08,3,0,0,0
02.09,3,0,0,0
02.10,3,0,0,0
02.11,3,0,0,0
02.12,3,0,0,0
02.13,3,0,0,0
02.14,3,0,0,0
02.15,3,0,0,0
02.16,3,0,0,0
02.17,3,0,0,0
02.18,3,0,0,0
02.19,3,0,0,0
02.20,3,0,0,0
02.21,6,0,0,3
02.22,20,0,2,17
02.23,132,1,2,56
02.24,230,2,6,98
02.25,283,1,7,53
02.26,374,1,12,91
02.27,528,42,14,154
02.28,655,45,17,127
02.29,888,46,21,238
03.01,1128,50,29,240
03.02,1713,83,41,585
03.03,2086,149,52,373
03.04,2546,160,79,460
03.05,3089,276,107,543
03.06,3927,414,148,838
03.07,4680,523,197,822
03.08,6012,589,233,1332
03.09,7424,622,366,1541
03.10,9220,724,463,1796
03.11,10283,1004,631,1063
03.12,12462,1045,827,2179
03.13,15385,1258,1016,2923
03.14,17660,1439,1266,2547
03.15,21270,1966,1441,3610
03.16,24747,2335,1809,3590
03.17,27980,2749,2158,3233
03.18,31506,2941,2503,3526
03.19,36455,4025,2978,4949
03.20,41035,4440,3405,5322
03.21,47021,5129,4032,5986
03.22,53578,6072,4825,6557
03.23,59138,7024,5476,5560
03.24,63927,7432,6077,4789
03.25,69176,8326,6820,5249
03.26,74386,9362,7503,5210
03.27,80539,10361,8215,6153
03.28,86498,10950,9134,5959
03.29,92472,12384,10023,5974
03.30,97689,13030,10779,5217
03.31,101739,14620,11591,4050
04.01,105792,15729,12428,4053
04.02,110574,16847,13155,4782
04.03,115242,18278,13915,4668
04.04,119827,19758,14681,4585
04.05,124632,20996,15362,4805
04.06,128948,21815,15887,4316
04.07,132547,22837,16523,3599
04.08,135586,24392,17127,3039
04.09,139422,26491,17669,3836
04.10,143626,28470,18279,4204
04.11,147577,30455,18849,3951
04.12,152271,32534,19468,4694
04.13,156363,34211,19899,4092
04.14,159516,35435,20465,3153
04.15,162488,37130,21067,2972
04.16,165155,38092,21645,2667
04.17,168941,40164,22170,3786
04.18,172434,42727,22745,3493
04.19,175925,44927,23227,3491
04.20,178972,47055,23660,3047
04.21,181228,48877,24114,2256
04.22,183957,51600,24648,2729
04.23,187327,54543,25085,3370
04.24,189973,57576,25549,2646
04.25,192994,60498,25969,3021
04.26,195351,63120,26384,2357
04.27,197675,64928,26644,2324
04.28,199414,66624,26977,1739
04.29,201505,68941,27359,2091
04.30,203591,71252,27682,2086
05.01,205463,75945,27967,1872
05.02,207428,78249,28236,1965
05.03,209328,79914,28710,1900
05.04,210717,81654,28884,1389
05.05,211938,82879,29079,1221
05.06,213013,85231,29315,1075
05.07,214457,93245,29684,1444
05.08,215858,96276,29958,1401
05.09,217185,99023,30201,1327
05.10,218268,103031,30395,1083
05.11,219070,105186,30560,802
05.12,219814,106587,30739,744
05.13,221216,109039,30911,1402
05.14,222104,112541,31106,888
05.15,223096,115288,31368,992
05.16,223885,120205,31610,789
05.17,224760,122810,31763,875
05.18,225435,125176,31908,675
05.19,225886,127326,32007,451
05.20,226699,129401,32169,813
05.21,227364,132282,32330,665
05.22,228006,134560,32486,642
05.23,228658,136720,32616,652
05.24,229327,138840,32735,669
05.25,229858,140479,32785,531
05.26,230158,141981,32877,300
05.27,230555,144658,32955,397
05.28,231139,147101,33072,584
05.29,231732,150604,33142,593
05.30,232248,152844,33229,516
05.31,232664,155633,33340,416
06.01,232997,157507,33415,333
06.02,233197,158355,33475,200
06.03,233515,160092,33530,318
06.04,233836,160938,33601,321
06.05,234013,161895,33689,177
06.06,234531,163781,33774,518
06.07,234801,165078,33846,270
06.08,234998,165837,33899,197
06.09,235278,166584,33964,280
06.10,235561,168646,34043,283
