,confirm,heal,dead,confirm_add
01.28,14,2,0,0
01.29,14,2,0,0
01.30,14,2,0,0
01.31,19,7,0,5
02.01,19,7,0,0
02.02,19,7,0,0
02.03,19,7,0,0
02.04,25,10,0,6
02.05,25,10,0,0
02.06,25,10,0,0
02.07,25,10,0,0
02.08,32,10,0,7
02.09,32,10,0,0
02.10,32,10,0,0
02.11,33,10,0,1
02.12,33,10,0,0
02.13,33,10,0,0
02.14,33,10,0,0
02.15,34,10,0,1
02.16,35,14,0,0
02.17,35,14,0,0
02.18,35,15,0,0
02.19,35,15,0,0
02.20,35,15,0,0
02.21,35,17,0,0
02.22,35,17,0,0
02.23,35,17,0,0
02.24,35,17,0,0
02.25,37,17,0,2
02.26,40,22,0,3
02.27,40,22,0,0
02.28,41,28,0,1
02.29,42,28,0,1
03.01,42,28,1,0
03.02,43,28,1,1
03.03,43,28,1,0
03.04,43,28,1,0
03.05,47,28,1,4
03.06,48,28,1,1
03.07,50,31,1,2
03.08,50,31,1,0
03.09,50,31,1,0
03.10,53,33,1,3
03.11,59,34,1,6
03.12,70,34,1,11
03.13,75,34,1,5
03.14,82,35,1,7
03.15,114,35,1,32
03.16,147,37,1,33
03.17,177,41,1,30
03.18,212,41,1,35
03.19,272,42,1,60
03.20,322,43,1,50
03.21,411,44,1,89
03.22,599,44,1,188
03.23,721,45,1,122
03.24,827,57,4,106
03.25,934,70,4,107
03.26,1045,70,4,111
03.27,1245,97,5,109
03.28,1245,97,6,0
03.29,1388,100,7,143
03.30,1524,127,9,136
03.31,1651,342,10,127
04.01,1771,416,12,120
04.02,1875,505,15,104
04.03,1978,581,19,103
04.04,2067,612,20,89
04.05,2169,674,23,102
04.06,2220,793,26,51
04.07,2258,824,27,38
04.08,2369,888,30,111
04.09,2423,940,32,54
04.10,2473,1013,33,50
04.11,2518,1135,35,45
04.12,2551,1218,38,33
04.13,2579,1288,40,28
04.14,2613,1405,41,34
04.15,2643,1497,43,30
04.16,2672,1593,46,29
04.17,2700,1689,47,28
04.18,2733,1787,47,33
04.19,2765,1928,47,32
04.20,2792,1999,47,27
04.21,2811,2108,48,19
04.22,2826,2352,49,15
04.23,2839,2430,50,13
04.24,2854,2490,50,15
04.25,2907,2547,51,53
04.26,2922,2594,51,15
04.27,2931,2609,52,9
04.28,2938,2652,54,7
04.29,2947,2665,54,9
04.30,2954,2684,54,7
05.01,2960,2719,54,6
05.02,2966,2732,54,6
05.03,2966,2732,54,0
05.04,2987,2740,54,21
05.05,2988,2747,54,1
05.06,2989,2761,55,1
05.07,2992,2772,55,3
05.08,3000,2784,55,8
05.09,3004,2787,56,4
05.10,3009,2794,56,5
05.11,3015,2796,56,6
05.12,3017,2798,56,2
05.13,3017,2844,56,0
05.14,3018,2850,56,1
05.15,3025,2854,56,7
05.16,3025,2855,56,0
05.17,3028,2856,56,3
05.18,3031,2857,56,3
05.19,3033,2857,56,2
05.20,3034,2888,56,1
05.21,3037,2897,56,3
05.22,3037,2910,56,0
05.23,3040,2916,56,3
05.24,3040,2921,56,0
05.25,3042,2928,57,2
05.26,3045,2929,57,3
05.27,3054,2931,57,9
05.28,3065,2945,57,11
05.29,3076,2945,57,11
05.30,3077,2961,57,1
05.31,3081,2963,57,4
06.01,3082,2965,57,1
06.02,3083,2966,58,1
06.03,3083,2966,58,0
06.04,3101,2968,58,18
06.05,3102,2971,58,1
06.06,3104,2971,58,2
06.07,3112,2972,58,8
06.08,3119,2973,58,7
06.09,3121,2973,58,2
06.10,3121,2973,58,0
